policy_id,payment_amount,payment_date,payment_id
1,173.58333333333334,2019-06-22,1
1,173.58333333333334,2019-07-22,2
1,173.58333333333334,2019-08-22,3
1,173.58333333333334,2019-09-22,4
1,173.58333333333334,2019-10-22,5
1,173.58333333333334,2019-11-22,6
1,173.58333333333334,2019-12-22,7
1,173.58333333333334,2020-01-22,8
1,173.58333333333334,2020-02-22,9
1,173.58333333333334,2020-03-22,10
1,173.58333333333334,2020-04-22,11
1,173.58333333333334,2020-05-22,12
2,248.58333333333334,2022-10-19,13
2,248.58333333333334,2022-11-19,14
2,248.58333333333334,2022-12-19,15
2,248.58333333333334,2023-01-19,16
2,248.58333333333334,2023-02-19,17
2,248.58333333333334,2023-03-19,18
2,248.58333333333334,2023-04-19,19
2,248.58333333333334,2023-05-19,20
2,248.58333333333334,2023-06-19,21
2,248.58333333333334,2023-07-19,22
2,248.58333333333334,2023-08-19,23
2,248.58333333333334,2023-09-19,24
3,136.16666666666666,2019-07-10,25
3,136.16666666666666,2019-08-10,26
3,136.16666666666666,2019-09-10,27
3,136.16666666666666,2019-10-10,28
3,136.16666666666666,2019-11-10,29
3,136.16666666666666,2019-12-10,30
3,136.16666666666666,2020-01-10,31
3,136.16666666666666,2020-02-10,32
3,136.16666666666666,2020-03-10,33
3,136.16666666666666,2020-04-10,34
3,136.16666666666666,2020-05-10,35
3,136.16666666666666,2020-06-10,36
4,54.333333333333336,2022-05-26,37
4,54.333333333333336,2022-06-26,38
4,54.333333333333336,2022-07-26,39
4,54.333333333333336,2022-08-26,40
4,54.333333333333336,2022-09-26,41
4,54.333333333333336,2022-10-26,42
4,54.333333333333336,2022-11-26,43
4,54.333333333333336,2022-12-26,44
4,54.333333333333336,2023-01-26,45
4,54.333333333333336,2023-02-26,46
4,54.333333333333336,2023-03-26,47
4,54.333333333333336,2023-04-26,48
5,179.83333333333334,2019-10-15,49
5,179.83333333333334,2019-11-15,50
5,179.83333333333334,2019-12-15,51
5,179.83333333333334,2020-01-15,52
5,179.83333333333334,2020-02-15,53
5,179.83333333333334,2020-03-15,54
5,179.83333333333334,2020-04-15,55
5,179.83333333333334,2020-05-15,56
5,179.83333333333334,2020-06-15,57
5,179.83333333333334,2020-07-15,58
5,179.83333333333334,2020-08-15,59
5,179.83333333333334,2020-09-15,60
6,196.33333333333334,2022-12-21,61
6,196.33333333333334,2023-01-21,62
6,196.33333333333334,2023-02-21,63
6,196.33333333333334,2023-03-21,64
6,196.33333333333334,2023-04-21,65
6,196.33333333333334,2023-05-21,66
6,196.33333333333334,2023-06-21,67
6,196.33333333333334,2023-07-21,68
6,196.33333333333334,2023-08-21,69
6,196.33333333333334,2023-09-21,70
6,196.33333333333334,2023-10-21,71
6,196.33333333333334,2023-11-21,72
7,142.83333333333334,2019-09-04,73
7,142.83333333333334,2019-10-04,74
7,142.83333333333334,2019-11-04,75
7,142.83333333333334,2019-12-04,76
7,142.83333333333334,2020-01-04,77
7,142.83333333333334,2020-02-04,78
7,142.83333333333334,2020-03-04,79
7,142.83333333333334,2020-04-04,80
7,142.83333333333334,2020-05-04,81
7,142.83333333333334,2020-06-04,82
7,142.83333333333334,2020-07-04,83
7,142.83333333333334,2020-08-04,84
8,187.66666666666666,2020-01-22,85
8,187.66666666666666,2020-02-22,86
8,187.66666666666666,2020-03-22,87
8,187.66666666666666,2020-04-22,88
8,187.66666666666666,2020-05-22,89
8,187.66666666666666,2020-06-22,90
8,187.66666666666666,2020-07-22,91
8,187.66666666666666,2020-08-22,92
8,187.66666666666666,2020-09-22,93
8,187.66666666666666,2020-10-22,94
8,187.66666666666666,2020-11-22,95
8,187.66666666666666,2020-12-22,96
9,133.66666666666666,2021-06-13,97
9,133.66666666666666,2021-07-13,98
9,133.66666666666666,2021-08-13,99
9,133.66666666666666,2021-09-13,100
9,133.66666666666666,2021-10-13,101
9,133.66666666666666,2021-11-13,102
9,133.66666666666666,2021-12-13,103
9,133.66666666666666,2022-01-13,104
9,133.66666666666666,2022-02-13,105
9,133.66666666666666,2022-03-13,106
9,133.66666666666666,2022-04-13,107
9,133.66666666666666,2022-05-13,108
10,116.16666666666667,2022-11-05,109
10,116.16666666666667,2022-12-05,110
10,116.16666666666667,2023-01-05,111
10,116.16666666666667,2023-02-05,112
10,116.16666666666667,2023-03-05,113
10,116.16666666666667,2023-04-05,114
10,116.16666666666667,2023-05-05,115
10,116.16666666666667,2023-06-05,116
10,116.16666666666667,2023-07-05,117
10,116.16666666666667,2023-08-05,118
10,116.16666666666667,2023-09-05,119
10,116.16666666666667,2023-10-05,120
11,134.25,2022-10-23,121
11,134.25,2022-11-23,122
11,134.25,2022-12-23,123
11,134.25,2023-01-23,124
11,134.25,2023-02-23,125
11,134.25,2023-03-23,126
11,134.25,2023-04-23,127
11,134.25,2023-05-23,128
11,134.25,2023-06-23,129
11,134.25,2023-07-23,130
11,134.25,2023-08-23,131
11,134.25,2023-09-23,132
12,50.25,2022-01-28,133
12,50.25,2022-02-28,134
12,50.25,2022-03-28,135
12,50.25,2022-04-28,136
12,50.25,2022-05-28,137
12,50.25,2022-06-28,138
12,50.25,2022-07-28,139
12,50.25,2022-08-28,140
12,50.25,2022-09-28,141
12,50.25,2022-10-28,142
12,50.25,2022-11-28,143
12,50.25,2022-12-28,144
13,201.16666666666666,2023-05-18,145
13,201.16666666666666,2023-06-18,146
13,201.16666666666666,2023-07-18,147
13,201.16666666666666,2023-08-18,148
13,201.16666666666666,2023-09-18,149
13,201.16666666666666,2023-10-18,150
13,201.16666666666666,2023-11-18,151
13,201.16666666666666,2023-12-18,152
13,201.16666666666666,2024-01-18,153
13,201.16666666666666,2024-02-18,154
13,201.16666666666666,2024-03-18,155
13,201.16666666666666,2024-04-18,156
14,125.5,2022-01-02,157
14,125.5,2022-02-02,158
14,125.5,2022-03-02,159
14,125.5,2022-04-02,160
14,125.5,2022-05-02,161
14,125.5,2022-06-02,162
14,125.5,2022-07-02,163
14,125.5,2022-08-02,164
14,125.5,2022-09-02,165
14,125.5,2022-10-02,166
14,125.5,2022-11-02,167
14,125.5,2022-12-02,168
15,75.5,2019-07-30,169
15,75.5,2019-08-30,170
15,75.5,2019-09-30,171
15,75.5,2019-10-30,172
15,75.5,2019-11-30,173
15,75.5,2019-12-30,174
15,75.5,2020-01-30,175
15,75.5,2020-02-29,176
15,75.5,2020-03-30,177
15,75.5,2020-04-30,178
15,75.5,2020-05-30,179
15,75.5,2020-06-30,180
16,158.41666666666666,2018-02-15,181
16,158.41666666666666,2018-03-15,182
16,158.41666666666666,2018-04-15,183
16,158.41666666666666,2018-05-15,184
16,158.41666666666666,2018-06-15,185
16,158.41666666666666,2018-07-15,186
16,158.41666666666666,2018-08-15,187
16,158.41666666666666,2018-09-15,188
16,158.41666666666666,2018-10-15,189
16,158.41666666666666,2018-11-15,190
16,158.41666666666666,2018-12-15,191
16,158.41666666666666,2019-01-15,192
17,55.5,2019-07-24,193
17,55.5,2019-08-24,194
17,55.5,2019-09-24,195
17,55.5,2019-10-24,196
17,55.5,2019-11-24,197
17,55.5,2019-12-24,198
17,55.5,2020-01-24,199
17,55.5,2020-02-24,200
17,55.5,2020-03-24,201
17,55.5,2020-04-24,202
17,55.5,2020-05-24,203
17,55.5,2020-06-24,204
18,84.0,2019-02-06,205
18,84.0,2019-03-06,206
18,84.0,2019-04-06,207
18,84.0,2019-05-06,208
18,84.0,2019-06-06,209
18,84.0,2019-07-06,210
18,84.0,2019-08-06,211
18,84.0,2019-09-06,212
18,84.0,2019-10-06,213
18,84.0,2019-11-06,214
18,84.0,2019-12-06,215
18,84.0,2020-01-06,216
19,180.08333333333334,2019-09-30,217
19,180.08333333333334,2019-10-30,218
19,180.08333333333334,2019-11-30,219
19,180.08333333333334,2019-12-30,220
19,180.08333333333334,2020-01-30,221
19,180.08333333333334,2020-02-29,222
19,180.08333333333334,2020-03-30,223
19,180.08333333333334,2020-04-30,224
19,180.08333333333334,2020-05-30,225
19,180.08333333333334,2020-06-30,226
19,180.08333333333334,2020-07-30,227
19,180.08333333333334,2020-08-30,228
20,238.33333333333334,2018-05-07,229
20,238.33333333333334,2018-06-07,230
20,238.33333333333334,2018-07-07,231
20,238.33333333333334,2018-08-07,232
20,238.33333333333334,2018-09-07,233
20,238.33333333333334,2018-10-07,234
20,238.33333333333334,2018-11-07,235
20,238.33333333333334,2018-12-07,236
